İlçe,Mahalle,Oda,Salon,m^2,Bina Yaşı,Kat,Fiyat
 Çankaya , Fakülteler Mah.,3,1,120,40,3,25000
 Çankaya , Bahçelievler Mah.,2,1,90,30,1,38000
 Keçiören , Yeşiltepe Mah.,3,1,130,25,1,13750
 Mamak , Ege Mah.,3,1,130,13,5,26500
 Çankaya , Gaziosmanpaşa Mah.,5,1,225,35,0,55000
 Gölbaşı , Taşpınar Mah.,2,1,110,5,9,31500
 Gölbaşı , Hacılar Mah.,4,1,220,10,3,35000
 Çankaya , Hilal Mah.,4,1,200,20,2,30000
 Etimesgut , Topçu Mah.,2,1,105,15,1,25000
 Çankaya , Yukarı Bahçelievler Mah.,3,1,160,40,3,36000
 Çankaya , Bağcılar Mah.,3,1,110,5,1,21500
 Çankaya , Sokullu Mehmet Paşa Mah.,3,1,150,30,1,27500
 Çankaya , Sokullu Mehmet Paşa Mah.,3,1,110,30,2,30000
 Çankaya , Aşağı Öveçler Mah.,3,1,200,0,2,39000
 Çankaya , Naci Çakır Mah.,3,1,135,30,-1,32000
 Çankaya , Naci Çakır Mah.,3,1,135,30,-1,32000
 Sincan , Gazi Osmanpaşa Mah.,3,1,145,25,4,14250
 Gölbaşı , Kızılcaşar Mah.,1,1,65,3,14,28000
 Çankaya , Naci Çakır Mah.,3,1,110,25,1,15000
 Çankaya , 100. Yıl Mah.,2,1,85,50,1,23000
 Mamak , Mutlu Mah.,3,1,120,7,2,16300
 Çankaya , Birlik Mah.,3,1,118,28,9,30000
 Çankaya , Ön Cebeci Mah.,2,1,75,35,1,13500
 Sincan , Gazi Osmanpaşa Mah.,3,1,125,30,1,17000
 Sincan , Gazi Osmanpaşa Mah.,3,1,125,30,1,17000
 Çankaya , Naci Çakır Mah.,3,1,120,29,1,34000
 Çankaya , Fakülteler Mah.,1,1,40,0,3,32000
 Yenimahalle , Varlık Mah.,2,1,110,30,1,20000
 Çankaya , Ayrancı Mah.,3,1,125,35,3,29500
 Çankaya , Bahçelievler Mah.,2,1,95,40,0,26000
 Etimesgut , Göksu Mah.,3,1,135,15,2,25000
 Çankaya , Akpınar Mah.,3,1,155,17,3,27000
 Etimesgut , Altay Mah.,2,1,95,20,2,20500
 Çankaya , Emek Mah.,3,1,115,25,3,29000
 Çankaya , Ayrancı Mah.,3,1,145,36,2,30000
 Çankaya , Ayrancı Mah.,3,1,120,45,2,28000
 Keçiören , Ovacık Mah.,3,1,130,10,1,25000
 Çankaya , Fakülteler Mah.,3,1,105,35,4,20000
 Yenimahalle , Varlık Mah.,2,1,75,18,0,22500
 Çankaya , Prof. Dr. Ahmet Taner Kışlalı Mah.,3,1,120,30,7,35000
 Çankaya , Emek Mah.,3,1,120,15,2,35000
 Çankaya , Emek Mah.,4,1,140,30,1,35000
 Çankaya , Bahçelievler Mah.,1,1,45,0,2,32000
 Keçiören , Tepebaşı Mah.,4,1,160,30,3,23900
 Çankaya , Karapınar Mah.,4,4,180,17,3,35000
 Çankaya , Osman Temiz Mah.,3,1,125,22,3,22000
 Çankaya , Yukarı Bahçelievler Mah.,3,1,150,35,1,45000
 Çankaya , Ata Mah.,3,1,115,25,2,17000
 Çankaya , Emek Mah.,3,1,115,43,1,26000
 Çankaya , Emek Mah.,3,1,130,35,1,26000
 Keçiören , Ufuktepe Mah.,3,1,120,25,1,16000
 Çankaya , Yukarı Bahçelievler Mah.,2,1,105,35,4,33000
 Çankaya , Bahçelievler Mah.,1,1,45,0,2,32000
 Çankaya , Ayrancı Mah.,3,1,115,35,-2,22000
 Çankaya , Naci Çakır Mah.,3,1,125,28,1,34000
 Çankaya , Bahçelievler Mah.,2,1,90,20,1,25000
 Çankaya , İlkbahar Mah.,4,1,175,4,4,59000
 Çankaya , Yukarı Bahçelievler Mah.,3,1,100,40,3,32000
 Çankaya , Emek Mah.,3,1,125,38,9,43000
 Çankaya , Şehit Cevdet Özdemir Mah.,2,1,115,27,3,19000
 Etimesgut , Devlet Mah.,3,1,135,16,5,26000
 Çankaya , Emek Mah.,3,1,115,40,6,29000
 Çankaya , Alacaatlı Mah.,1,0,43,4,6,20000
 Çankaya , İncesu Mah.,3,1,110,40,3,18000
 Çankaya , Cevizlidere Mah.,3,1,120,18,3,26000
 Çankaya , Gaziosmanpaşa Mah.,4,1,168,27,1,55000
 Etimesgut , Bağlıca Mah.,4,1,210,3,3,35000
 Çankaya , Koru Mah.,3,1,110,16,1,31500
 Sincan , Mustafa Kemal Mah.,3,1,130,8,3,18500
 Çankaya , Yukarı Bahçelievler Mah.,2,1,85,0,0,30000
 Çankaya , Mürsel Uluç Mah.,2,1,85,4,4,24000
 Çankaya , Dumlupınar Mah.,3,1,135,29,3,32000
 Etimesgut , Topçu Mah.,3,1,110,22,3,18500
 Çankaya , Balgat Mah.,3,1,135,20,1,35000
 Yenimahalle , Barış Mah.,2,1,100,30,0,13000
 Çankaya , Aşıkpaşa Mah.,3,1,130,20,1,25000
 Çankaya , Fakülteler Mah.,3,1,105,30,-1,22500
 Çankaya , Büyükesat Mah.,3,1,95,45,-1,27000
 Çankaya , Şehit Cengiz Karaca Mah.,3,1,150,13,1,23500
 Yenimahalle , Çiğdemtepe Mah.,3,1,165,7,2,24000
 Yenimahalle , Batı Sitesi Mah.,2,1,100,0,3,28000
 Etimesgut , Yavuz Selim Mah.,4,1,190,5,21,57000
 Mamak , Akşemsettin Mah.,3,1,135,7,3,19000
 Mamak , General Zeki Doğan Mah.,3,1,200,0,3,25000
 Yenimahalle , Demetevler Mah.,3,1,120,35,4,18000
 Sincan , Menderes Mah.,3,2,140,0,3,18500
 Yenimahalle , Ergazi Mah.,3,1,110,28,6,25000
 Keçiören , Çaldıran Mah.,3,1,120,15,1,15000
 Yenimahalle , Pamuklar Mah.,4,1,170,7,10,32500
 Mamak , Akşemsettin Mah.,4,1,195,0,6,20500
 Sincan , Mustafa Kemal Mah.,3,1,138,5,3,17500
 Çankaya , İlker Mah.,5,0,285,15,4,45000
 Mamak , Demirlibahçe Mah.,3,1,105,40,1,15000
 Yenimahalle , Esentepe Mah.,3,1,135,26,2,22000
 Çankaya , Aziziye Mah.,4,1,175,15,12,60000
 Çankaya , Güvenevler Mah.,3,1,145,25,5,35000
 Etimesgut , Şeyh Şamil Mah.,3,1,110,28,3,22000
 Etimesgut , Altay Mah.,2,1,85,30,4,20000
 Etimesgut , 30 Ağustos Mah.,3,1,125,8,1,21000
 Yenimahalle , Beştepe Mah.,3,1,130,28,3,33000
 Mamak , Mutlu Mah.,3,1,110,10,1,15750
 Keçiören , Ayvalı Mah.,3,1,115,25,1,22000
 Keçiören , Şenlik Mah.,3,1,145,45,2,21000
