İlçe,Mahalle,Oda Sayısı,m^2,Bina Yaşı,Kat,Fiyat
 Çankaya , Fakülteler,4,120,40,3,25000
 Çankaya , Bahçelievler,3,90,30,1,38000
 Keçiören , Yeşiltepe,4,130,25,1,13750
 Mamak , Ege,4,130,13,5,26500
 Etimesgut , Topçu,3,105,15,1,25000
 Çankaya , Yukarı Bahçelievler,4,160,40,3,36000
 Çankaya , Bağcılar,4,110,5,1,21500
 Çankaya , Sokullu Mehmet Paşa,4,150,30,1,27500
 Çankaya , Sokullu Mehmet Paşa,4,110,30,2,30000
 Çankaya , Naci Çakır,4,135,30,-1,32000
 Çankaya , Naci Çakır,4,135,30,-1,32000
 Sincan , Gazi Osmanpaşa,4,145,25,4,14250
 Çankaya , Naci Çakır,4,110,25,1,15000
 Çankaya , 100. Yıl,3,85,50,1,23000
 Mamak , Mutlu,4,120,7,2,16300
 Çankaya , Ön Cebeci,3,75,35,1,13500
 Sincan , Gazi Osmanpaşa,4,125,30,1,17000
 Sincan , Gazi Osmanpaşa,4,125,30,1,17000
 Çankaya , Naci Çakır,4,120,29,1,34000
 Yenimahalle , Varlık,3,110,30,1,20000
 Çankaya , Ayrancı,4,125,35,3,29500
 Çankaya , Bahçelievler,3,95,40,0,26000
 Etimesgut , Göksu,4,135,15,2,25000
 Çankaya , Akpınar,4,155,17,3,27000
 Etimesgut , Altay,3,95,20,2,20500
 Çankaya , Emek,4,115,25,3,29000
 Çankaya , Ayrancı,4,145,36,2,30000
 Çankaya , Ayrancı,4,120,45,2,28000
 Keçiören , Ovacık,4,130,10,1,25000
 Çankaya , Fakülteler,4,105,35,4,20000
 Yenimahalle , Varlık,3,75,18,0,22500
 Çankaya , Prof. Dr. Ahmet Taner Kışlalı,4,120,30,7,35000
 Çankaya , Emek,4,120,15,2,35000
 Çankaya , Emek,5,140,30,1,35000
 Çankaya , Bahçelievler,2,45,0,2,32000
 Keçiören , Tepebaşı,5,160,30,3,23900
 Çankaya , Osman Temiz,4,125,22,3,22000
 Çankaya , Yukarı Bahçelievler,4,150,35,1,45000
 Çankaya , Ata,4,115,25,2,17000
 Çankaya , Emek,4,115,43,1,26000
 Çankaya , Emek,4,130,35,1,26000
 Keçiören , Ufuktepe,4,120,25,1,16000
 Çankaya , Yukarı Bahçelievler,3,105,35,4,33000
 Çankaya , Bahçelievler,2,45,0,2,32000
 Çankaya , Ayrancı,4,115,35,-2,22000
 Çankaya , Naci Çakır,4,125,28,1,34000
 Çankaya , Bahçelievler,3,90,20,1,25000
 Çankaya , Yukarı Bahçelievler,4,100,40,3,32000
 Çankaya , Şehit Cevdet Özdemir,3,115,27,3,19000
 Etimesgut , Devlet,4,135,16,5,26000
 Çankaya , Emek,4,115,40,6,29000
 Çankaya , İncesu,4,110,40,3,18000
 Çankaya , Cevizlidere,4,120,18,3,26000
 Çankaya , Koru,4,110,16,1,31500
 Sincan , Mustafa Kemal,4,130,8,3,18500
 Çankaya , Yukarı Bahçelievler,3,85,0,0,30000
 Çankaya , Mürsel Uluç,3,85,4,4,24000
 Çankaya , Dumlupınar,4,135,29,3,32000
 Etimesgut , Topçu,4,110,22,3,18500
 Çankaya , Balgat,4,135,20,1,35000
 Yenimahalle , Barış,3,100,30,0,13000
 Çankaya , Aşıkpaşa,4,130,20,1,25000
 Çankaya , Fakülteler,4,105,30,-1,22500
 Çankaya , Büyükesat,4,95,45,-1,27000
 Çankaya , Şehit Cengiz Karaca,4,150,13,1,23500
 Yenimahalle , Çiğdemtepe,4,165,7,2,24000
 Yenimahalle , Batı Sitesi,3,100,0,3,28000
 Mamak , Akşemsettin,4,135,7,3,19000
 Yenimahalle , Demetevler,4,120,35,4,18000
 Sincan , Menderes,5,140,0,3,18500
 Yenimahalle , Ergazi,4,110,28,6,25000
 Keçiören , Çaldıran,4,120,15,1,15000
 Mamak , Akşemsettin,5,195,0,6,20500
